PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D712013-511,1,222697,PL,F49-1-BAG1,1,1752150,1,59,10,59,210,64,0,53,0
D712018-513,1,72454,PL,F49-1-BAG1,1,889042,1,25,7,10,139,64,0,53,0
D712023-507,1,98153,PL,F49-1-BAG1,1,1106346,1,35,7,24,162,64,0,53,0
D757004-609,2,307233,BS,F49-1-BAG1,2,1720011,1,0,3,454,231,69,0,68,1
D746603-559,1,20304,SA,F49-1-BAG1,1,684376,1,3,5,3,128,73,-1,72,0
D746702-53,1,219672,MP,F49-1-BAG1,1,510868,1,0,2,0,98,73,-1,72,1
D747005-503,3,983298,EL,F49-1-BAG1,3,133755164,4,0,29,559,704,46,0,43,3
D751705-513,1,91130,EL,F49-1-BAG1,1,2913496,3,29,11,43,310,57,0,53,0
D746603-63,1,336634,MP,F49-1-BAG1,1,687498,1,12,5,0,129,284,-1,-457,0
D757705-507,2,416446,EL,F49-1-BAG1,2,27767972,2,0,13,124,316,49,0,49,1
D751001-523,1,1882964,TA,F49-1-BAG1,1,29277098,4,17,23,785,482,49,-1,49,1
D757134-43,1,441361,EX,F49-1-BAG1,1,733078,1,22,6,0,125,69,0,56,0
D757027-503,1,33357,PL,F49-1-BAG1,1,1014258,1,50,9,10,146,69,0,56,0
D746603-61,1,302499,MP,F49-1-BAG1,1,640508,1,11,5,0,127,73,-1,67,0
D746603-67,1,335561,MP,F49-1-BAG1,1,583596,1,0,2,0,232,85,-1,70,1
D746603-73,1,259028,MP,F49-1-BAG1,1,598324,1,7,5,0,125,73,-1,70,1
D876004-517,3,133562,BS,F49-1-BAG1,3,1779627,3,11,15,182,298,66,0,-206,2
D751001-181,3,3994654,TA,F49-1-BAG1,3,44370245,3,9,16,4172,436,63,0,62,4
D751005-589,1,1970233,EL,F49-1-BAG1,1,171138946,8,0,49,1106,1196,57,0,56,1
D746331-31,1,124761,NM,F49-1-BAG1,1,538176,1,6,5,0,125,74,0,73,0
D712015-529,2,246886,PL,F49-1-BAG1,2,1000605,1,21,6,37,171,34,0,34,1
D712016-511,1,77584,PL,F49-1-BAG1,1,1157403,1,31,6,19,160,7,0,7,0
D751382-539,1,38574,PL,F49-1-BAG1,1,700968,1,14,5,16,145,58,-1,58,0
D712035-505,1,22671,PL,F49-1-BAG1,1,664727,1,12,5,2,125,14,0,13,0
D712101-521,1,27399,SA,F49-1-BAG1,1,670150,1,2,5,3,130,7,0,7,0
D712015-535,2,185459,PL,F49-1-BAG1,2,2077878,1,40,10,75,221,34,0,34,1
D757741-503,1,22520,EL,F49-1-BAG1,1,1017904,1,3,5,4,137,81,0,-133,1
D746603-77,1,300388,MP,F49-1-BAG1,1,659998,1,11,5,0,125,85,-1,70,0
D746702-45,1,226544,MP,F49-1-BAG1,1,624362,1,9,5,0,125,73,-1,72,1
D746340-91,1,236462,MP,F49-1-BAG1,1,600393,1,13,6,0,127,71,-1,71,1
D746510-27,1,468400,NM,F49-1-BAG3,1,508938,1,0,2,0,101,71,-1,71,1
D876002-117,3,261308,IN,F49-1-BAG1,3,2187548,1,0,6,336,131,66,0,66,3
D746331-17,1,103530,NM,F49-1-BAG1,1,511652,1,3,5,0,123,61,0,61,0
D746510-23,1,506799,NM,F49-1-BAG1,1,533685,1,6,4,0,129,32,-1,32,1
D712015-531,1,194222,PL,F49-1-BAG1,1,1134310,1,34,7,25,166,34,0,34,0
